message,hate_speech,chess
when i was a little kid i used to be in this school and somehow i spoke to this jew. this dude got a narcissistic laugh out of every blonde joke. his favorite was when the blond went to donate semen by using her mouth as container. sad but it 's blonds fault also to let this happen .,1,0
omm this bitch dumb ass fuck,0,0
rt @sweetromance: @1visionamd @redeemed1952 @azws once again birds of a feather....,0,0
mary jane is a dumb bitch peter has a job saving the city as spiderman and she's bitching about how he hasn't came to her play,0,0
&#8220 @jenneracosta: sleep over with guys doesn't mean we gonna fuck. trust me&#8221 you're a bitch for denying them pussy,0,0
&#8220 @bonnoxxx: @webbmadethis mane the skinny bitches was playin lol i had too take my weight class too another level&#8221 &#128557 &#128557 &#128557 &#128557 &#128557 &#128557 &#128557 &#128557 &#128557 &#128557 &#128557 &#128557,0,0
silly bitch shit never sleeps huh..,0,0
rt @_creamm_: @victoria_finae dont mind my retarded ass&#128514,0,0
the sassy clerk at the post office was curious why i was getting packages from japan bitch i'm just buyin toys,0,0
the birds and the bugs #voguet by anat r http: t.co ndmelhuwcg via @etsy #vintage #jewelry #bugout #insects #birds,0,0
at least people in the us have guns to defend themselves .,0,0
@shmapplemen haha yeah it's just gonna be a bitch going btw there and illinois on leave mannn. i'm stoked they are tho,0,0
i like it so far .,0,0
@darienbaby_xoxo jk i'd fuck a dog before i fuck you fish pussy,1,0
i wish ya nighas stressed ya kids like ya stress these lame bitches.,1,0
@b_shiznitt fuck you bitch,0,0
@xxminijokerxx i hate birds! they just piss me off about the fact that i can't fly!,0,0
this fat bitch turnt for some ice cream not gon lie i would be too https: t.co e6fiisiizw,0,0
quit eating at mexican food places .,0,0
rt @the_race_draft: obama ain't playin with these hoes... http: t.co b6opj6d25y,0,0
rt @ceut: bushco used to publicly trash ex-officials who wrote books - snow o'neill etc. bet we won't hear pbo trashing gates... #morning&#8230,0,0
i made you bitch,0,0
rt @suckerfreewes: i remember i tried to fake rape a bitch before and she was way too strong smfh .. i felt like a bitch!!!,0,0
"in the words of lil debbie ""i'm that bitch""",0,0
&#8220 @norapist: on my way to fuck ur bitch http: t.co sgvbbrwog2&#8221 @mckinley719,0,0
@abc its time. amend 14th amendment it was written to protect newly freed ex slaves. its lived its purpose. time to end anchor baby loophole,1,0
yo pussy been through it for the 9 scrapehouse visits. .,0,0
rt @judgmentalgay: best friend being a hoe: yaaas hunty hoe it up slaaaayy stranger being a hoe: you're so trashy. you're what's wrong wit&#8230,0,0
i just want to punch you in the throat when you get my order wrong stupid bitch at sonic,1,0
rt @rickygervais: jesus loves you but everyone else thinks you're a right cunt.,0,0
rt @imguccinizz: quit it with that you got hoes shit you ain't got a got damn thanggg witcha ugly ass !!!!!!!,0,0
a shockingly true tale from the oreo that almost got devoured. http: t.co wyis0lvdsi,0,0
i like bad bitches thats my fucking problem,0,0
you pulled that from the top link of a google search .,0,0
i just saw a man have a actual conversation with his bird haha,0,0
rt if u remember when steve from 'blue clues' left us with that other bitch ass nigga joe http: t.co jxtvd6dvdu,0,0
and theres a good chance these children will end up race mixing back into the white gene pool mongrelizing our race .,1,0
i'm from #southchicago so i know it's bad but...bitch it ain't like you live in englewood! #foh,0,0
who are they ?,0,0
@digo13nieto thanks little fag &#128536,1,0
i don't fuck with these niggas cause they shady i don't fuck with these bitches all they want is to have my baby,1,0
@nurbstheocho8 @tori_mills02 not dykes or anything&#128111 &#128539 &#128109,1,0
shrug college campuses are the place where multiculti propaganda is laid on the thickest .,0,0
rt @_nenakelly: thursday we will see bitches dressed up like if the hallways were runways clown make up on some girls guys with pants belo&#8230,0,0
&#128131 &#128131 &amp if you ain't a ho get up out my trap hooouseee.,0,0
how are the kids supposed to learn about how evil whitey is if their parents are teaching them how to read and write ?,0,0
rt @losthistories: dc fri 1 3: bengali harlem &amp lost histories south asian am reading convo @busboysandpoets 14th st cc: @smithsonianapa @d&#8230,0,0
i find that video disturbing at best .,0,0
you fags hyped that shit up so much and i listen to it... everything is garbage,1,0
took uber to &amp from thr shakey club last weekend. $12 total. cheaper than the $20 parking. had $8 extra to throw at the hoes.,0,0
i do n't know if this is the case of the seal but i like to believe that one day there will be no want or need to slaughter animals on a large scale like we currently do .,0,0
@fabianmleal aoas you write back bitch lol,0,0
females never understand that guys dont give af about females that they dont like liking them. stop trippin he dont know that hoe,0,0
fucking pussy bruh lol,0,0
"rt @tacorell this show should be called ""side bitches"" i ain't seen love yet",0,0
rt @daiinuh: girls with six packs are scary..... just have a flat stomach that's hot enough.... ripped bitches are scary looking.,0,0
jihadis turn washington national cathedral into mosque for friday prayers http: t.co 4ahp4t86bp #lnyhbt #ccot #teaparty #gop #tgdn,0,0
real shocking ... i was realy upset afterwards,0,0
rt @joebudden: the dating scene so wack out here dog&#8230 shit super trash.,0,0
@willstreakk @tycff10111 according to you my place is in kitchen. excuse me while i take out the trash,0,0
@kincade00 you seen it hoe put that cash up bitch imma take your money and spit on your fat ass,1,0
"rt @nuteila: ""wtf ling ling did you at least calculate the circumference when you threw that ass in a circle?"" http: t.co 2aueveeawn",0,0
that nigguh will never play football again,0,0
iggy is trending. twitter's trash today.,0,0
obama chooses to identify as black and zimmerman chooses to identify as hispanic .,0,0
the lovely previous owner had fed her a steady diet of iceberg lettuce carrots and bananas as well as 0 uvb for the past 7 months .,0,0
the thing about working with black people. these bitches never on fucking time then wanna complain about a short check. bitch die.today. now,1,0
#porn #android #iphone #ipad #sex #xxx #lesbian lesbian girl eating pussy http: t.co ht9szl3b24,0,0
"""@causewereguys: on my way to fuck yo bitch http: t.co j906t5ze2r"" me as a 9 year old",0,0
my lady was dressed as scarlett o' hara .,0,0
@wisdom_stature bitch we coulda been at the stores looking,1,0
rt @thebardockobama: yea but who gets more bitches grandma,0,0
fantastic!!,0,0
thats just stupid to say that because you have probably heard maybe 10-20 artists and those are the * * * * * * s on tv and stuff. there are tons of white non-wigerish rappers that dont `` scream '' about something,0,0
been a trill nicca since a lil nicca,1,0
people who chose the country over the city are miserable trash. they deserve neither respect nor consideration. they are less than scum.,1,0
years ago i worked at a highrise building downtown and the local bar association was one of the tenants there giving free legal advice .,0,0
@ohyeahtrip congratulations brother! we in that hoe!,0,0
i detest chap stick .,0,0
niggas talk more then bitches these days,1,0
. @_histo requires soundcloud links and tumblr bitches he might let you play his party then.,0,0
to me it means that jewish supremacists will never again allow whites to have a say .,1,0
@richiechristie1 i should've &#128553 that bitches wallet was tigher than her pu$$y,0,0
rt @therealicetre: hot pockets &gt hoes,0,0
http: www.physics.uoguelph.ca tutor... trigonom.html tutorial from university of guelph physics department .,0,0
smh hate that hoe,1,0
in the battle of languages english has won .,0,0
@francoiskilljoy bitch stop hatin cause they ain't make em in toddler size. you should be happy they make em in gs now,0,0
ladies do y'all shave wax before visiting ur obgyn or let it grow out @ because u don't wanna seem like a hoe?,0,0
hold up lebron ain't at dwade wedding if he got uninvited for leaving miami that's some hoe shit see y'all so quick to call some1 brother,0,0
rt @z0mbiedance: who let gabby get drunk off of her ass? give that bitch bread...bitches love bread.,0,0
@fukkntyler i ain't light skin nigga i'm even colored lmao,0,0
@denytheprophecy that's a dragon you retard,1,0
back when there were proper christian churches and people attended them this sort of music was available every sunday .,0,0
if you ever hear someone talking to a group of kids about their future goals listen closely .,0,0
for all you hoes know i could be dj zetti,0,0
rt @army_constancio: &#8220 @1proudmahomiee: @army_constancio http: t.co 15iziryymj&#8221 bitches have me like..,0,0
keep russia free from dark skinned beings !!!! thank you and please forgive me for mistakes .,1,0
rt @amyalkon: school admins take hungry kids' lunch &amp throw in trash because their lunch funds aren't paid up. that'll teach em! http: t.c&#8230,0,0
mother nature is drunk again this bitch knows how to party.,0,0
how much longer are we going to wait for them to take care of themselves ?,1,0
rt @ih8lightskins__: redskins gonna win and thats all im saying for the night,0,0
like stop being a bitch for 3.2 seconds.,0,0
from now on i will call all radical muslims niggers! it is very fitting and it is racist! i am racist against anyone who hates america!,1,0
@soldier1eaodgrn you are a teabagger scum who wants to threaten people with his penis extender. you are a danger to this country.,1,0
the whites and the asians evoluated and the blacks are still behind .,1,0
why the wifey type girls single and the hoes being cuffed though?,1,0
sure i will take note but i will continue to point out how you refuse to disclose any info that may give away your position on topics relating to wn .,0,0
rt @beenbasedb: &#8220 @_kudabrazyy: shawn micheals &amp razor ramon both had bitches&#8221 noone had more than godfather though,0,0
@rickahyatt @donaldbroom @poysti that bastard obama is giving them to the f-ing wetbacks.,1,0
@juice__2 nah you're a nigger,1,0
rt @jay_gee24: damn it wigga &#128514 &#128514 &#128514 &#128514,0,0
rt @tylar____: @1stblocjeremiah bitch shutup,0,0
im sorry that many people in my country are stupid .,0,0
they act as if negros with aids should have the right to reproduce when they will die off and have no way to take care of the kid i cant believe that they are doing this by the millions its crazy,1,0
the new government is exactly as anti-white as they want. : upside,0,0
rt @li_alp: still texans nation hoe.,0,0
youtube - mayor of boston sends welcome to gay transgender youth event kids attend prom from ' sexual hell ' you wo n't believe how children as young as 12 years old partied family advocates are outraged by a prom held at boston city hall that was open to children apparently as young as 12 featuring crossdressers homosexual heavy petting suspected drug use and a leather-clad doorman who teaches sexual bondage classes .,0,0
i need a trippy bitch i ain't wit that cute shit,0,0
have you seen the price of beef ?!?!,0,0
there are assimilated gypsies tats udins talysh etc among arme nians just like u have assimilated tatars ... but most armenians look like this especially western armenians victims of genocide which u mention here ...,0,0
rt @fuckyouisaac_: maury 70 years old still exposing hoes,1,0
surrender of divinity - conquerors of the apocalypse: http: t.co 9qv5rsy1p3 via @youtube &gt oriental black metal hell!!,0,0
@chasebasford chase you god damn faggot &#128514 &#128557 &#128514 &#128557,1,0
""" momma said no pussy cats inside my doghouse """,0,0
alley mills spring is an artists dream area .,0,0
2 beer queer,1,0
raise your kids on more than one language .,0,0
ask a friend ?,0,0
niggas talk bout hoes but the same hoes be in their beds at night ctfuu,0,0
because if nobody was judging the birds this account wouldn't even cause a ripple in d ocean,0,0
&#8220 @leelucas_: i fucked up in the 6th grade&#8221 yeah bitch you wants to fight me with yo dawg ass,0,0
kill her body with four-play. her pussy should be so weak from teasing that its impossible to hold back a orgasm during heated sex,0,0
it can be read online here : http: www.rastko.org.yu istorija te...ell-tesla.htmlandhttp: www.scribd.com doc 2683312 pr ... n-jacob-oneill,0,0
well i finished electrical engineering at texas tech and came away with four job offers.and wound up with enough money to buy houses and cars and keep my wife happy .,0,0
where is vrsl that nigger owes me 10 bucks,1,0
it really ain't nothin to cut that bitch off,1,0
i just getting started oh ya we got it bitch.,0,0
charles was eatin trash ass dominoes in that pic...you know he was still poor at the time lol,0,0
rt @terri_georgia: charlie crist leads rick scott in a florida governor's race where every vote will matter http: t.co fwuh5pvnjk,0,0
i'm so mad cause hoes think it's funny,1,0
this is a new version that has not been available before now .,0,0
#xfactorau sick of guys who sing like pussies. where are the rock type men?,0,0
rt @killsheredon: i can't handle no liquor but these bitches can't handle me.,0,0
@jacobbbacker faggot,0,0
i run a small crew of skinheads in the vancouver portland area .,0,0
her dad is going to school with her tomorrow ....,0,0
that nig darion couldn't help but act like the camera was on him... he didn't keep any composure eattin those crawfish hahaha,0,0
&#8220 @_dominiquecs: @thompson_era hahaha! she to much of a thottie for you!&#8221 never fear captain save-a-thot is here to save that hoe &#128526,0,0
listen i admire you for wanting to make the negroes feel better about themselves but the evidence for race is overwhelming .,0,0
if that makes me brainwashed then so be it .,0,0
rt @__tharealist: @voiceofdstreetz &#128514 &#128514 2 many lil bitty bitches,0,0
how tf you act like a bitch ?,0,0
she gon look over these bitches like terms and conditions...,0,0
myself unfortunately i was never there but my friend goes every year and she says it is great .,0,0
i hope my negroes beat your negroes .,0,0
rt @feelinyurthroat: don't watch me you beta watch your bitch nigga!,1,0
rt @o_shititslaura: good day with these 2 bitches @yadirasarmiento @jessycaa_rubi &#128536 &#9996,0,0
she got arrested for domestic violence against him!! ugh bitch -_-,0,0
most white western women have the racial sense of a cabbage .,1,0
all i wanted was 100 million dollars and a bad bitch. but now i want 200 and a m&#233 nage in my palace,1,0
@_tiffnasty some niggas didnt desrve to have that bitch in the first place,1,0
@nyrkelsmads you never survive in da colored hood,0,0
i just wanna slap a couple of y'all bitches,1,0
rt @stripesallure: bitches eyebrows be on fleek &#128064 &#128551 loyalty on weak &#128581 edges incomplete &#128134 and pussy on reek &#128553 &#128567 &#127887 &#128514,0,0
@jawshoeeahhh @greyyygoose @jehnayy you're gay bitch,1,0
' ima young rich niggah tryna fuck a niggah bitch my ex a rat the naybahoods be fuckin on that bitch &#1041204 &#1041204 i... http: t.co hfnsbupwma,0,0
"""poor whitey"" http: t.co 3ukkeyznz8",1,0
ur trash! http: t.co 6kn7pztgl8,0,0
rt @dankychan88: dumb bitches broke my tv went to wal mart fucked up... wokeup with a smart tv lol,0,0
rt @joebudden: these hoes gon find a way to wear some spandex i tell&#8217 ya,0,0
the moderation is so slow that this board is borderline trash .,0,0
rt @bitesblog: pat martin is gonna show some yankees a thing or two at the james beard house tonight http: t.co crwy99x7eq,0,0
can someone get me cheese and crackers,0,0
rt @itskingdee: @1inkkofrosess fuck them hoes! i have bigger problems like do you ever cook at your house lmao,0,0
@arionnee cuz you know i was playing witchu i aint call yo mama a bitch or say yo brother ugly af did i?,0,0
rt @jamesblunt: me! me! pick me! rt @blackeyelined: who is a bigger twat: james blunt or robin thicke?,0,0
nothing happened except i got an 88 % on the paper .,0,0
&#128514 &#128514 &#128514 &#128514 i hate you! rt @yumiyoko: cyrus ho is a rookie slut. getting the cash after the date? nope nope nope.,0,0
if it 's really this easy for an admittedly skilled hypnotist to do this to people what could cia kgb mi6 etc do with full unrestrained control over someone ?,0,0
tereasa,0,0
@kenny__wright @kush_boy420 @yopapi_chulo do it i fucking dare you faggot,0,0
rt @itsgirllcode: reasons to be a mermaid: - no periods - no pants - perfect hair - u get to lure men into their death also free clam bra,0,0
&#8220 @drmalvo: @woods_lamar http: t.co chnxcplzwr&#8221 hidey hidey hoe! white folk be all noyvous round coloreds,1,0
rt @yourfavposts: when your teacher puts you in a group with a bunch of retards http: t.co d5dphkwi2l,1,0
"@chvrlesgoldie like hov said ""we all ghetto b"" lol",0,0
rt @mcnarstle: yes the bird tweets in the morning are lovely but remember what you're hearing is: bird cock here! get some rock hard bird&#8230,0,0
rt @pattonoswalt: who spotted the looming yellow crown on tonight's #truedetective? http: t.co mua60ppvel,0,0
rt @chlldhoodruiner: she taught these hoes how to pose http: t.co aiobo34baa,0,0
i agree .,0,0
rt @hidalgoparadise: @d_41395 nigguh waldo had chipotle waiting for him at his house lucky soab lol,0,0
i got no respect for hoe shit,0,0
looking forward to it !,0,0
just hand them the game you zebra jack asses and save us all the trouble of watching,0,0
rt @rock76_: just show im not playing in this bitch one false move ima spraying in this bitch @1waynostra,1,0
even bitches with bad attitudes bumpin to our tunes.. they high maintenance.,0,0
i still think snap chat for faggots and high schoolers,1,0
@_angelaaau hey fag i &lt 3 you,1,0
which part are you in berserkergrrl ? 11,0,0
all of his posts thus far have been rather gratuitous and heavily aimed on skandinavia alenth with the histories and spirits thereof particularly the later portion of post #31 .,0,0
first in the world we were not afraid to stand up against soviet terror to this i take great pride as you all see the larger article in itself you may find here : http: www.mbl.is mm frettir innlent ... ml ? nid = 1083256,0,0
next time you see someone with their pants falling down just help them !,0,0
i treat my bitches with respect,1,0
i didnt try it yet but i guess i should check it out thankx i hope that link gave whoever needed it some info on whatever she i dont remember her name sorry needed later,0,0
@_cblaze sorry i eat pussy,0,0
we hate you too lil nicca! lol rt @redfernave: i hate the steelers dawg,1,0
so i 'll use the same one for the most part .,0,0
soft niccas usually send the hate thru the bitches jealous instagram niccas hatin on ya pictures -- @therealkiss,0,0
rt @atlassmugged: women only play casual game like kim k game &amp anger bird. they don't play real games like male power fantasy 2 or jingoi&#8230,0,0
yeah it was the same way when i was going to school in calgary. the problem is they have like 8 kids where we only have about 1-2 children usually .,0,0
irritating reading ppl bitch abt smthng yet offer shit for evidence to even support their slant. simply complaining is the easy part.,0,0
leave now .,0,0
i 've been in this scene for 14 years and it 's the same story every town state i 've ever been to .,0,0
the ple 's will be our sayanim .,0,0
turk a hoe y'all....,0,0
that bitch flawless af,0,0
so im me .,0,0
cheers,0,0
y'all remember that tall ass dyke named jay??? lmfaooo,1,0
rt @fashioniskei: these hoes ain't loyal.,0,0
rt @treal_urmagesty: darkskin girls got that juicy pussy &#128069 &#128166 &#128166 &#128571 &#128571,0,0
i 've added you to my aim but have yet to catch you online .,0,0
rt @studio6263: m&amp s bids for most social christmas yet with &#8216 follow the fairies&#8217 campaign http: t.co 5oal2ehhg2 #cle #marketing,0,0
rt @socass_: &#8220 @00sexilexi00: @socass_ i sang for you you nazi&#8221 *beaner,1,0
way too many pussies who just lay down and do nothing in my generation. both literally and figuratively.,0,0
"rt @liidurk__: dese hoes be ugly af talking bout ""if i wanted yo boyfriend i could have him"" bitch you look like a boyfriend &#128514 &#128514",0,0
rt @_ashwhole: &#8220 @terrylee__: &#8220 @______0__o_____: rt &#8220 @ihitmodelsraw: *hits blunt* https: t.co wiqgndxgnm &#8221 &#8221 this hoe thought she was so dee&#8230,0,0
im back on the other side of the pond now and i was actualy in the 17th district but thanks the heads up,0,0
fuck you and the bitches you talking to,0,0
whatever other activities they have been doing i am currently unaware of .,0,0
i 'm im 8th grade and im 14 .,0,0
i knew a kid down the street who was home schooled and he didnt act like a kid his age should .,0,0
cause bitch. i rather eat pussy then get mine ate.,0,0
rt @_xobrandy: @blaxxxican invest in some curtains bitch,0,0
lmaoooooo rt @heauxmersimpson rt @iluvfashion618 dre really is a big sloppy bitch. he's fat as shit.,0,0
lmao rt @sagaciousq: you a bitch. and rihanna always gonna be badder than kamehameha. @chrisbrown,1,0
@mrfoolycooly i dont think he did the celestial dragon killed him,0,0
this was done about two summers ago when she was just a baby out on the tree in the front yard she is way bigger now i will try and get the new pics up this week to show off of her and the pug both .,0,0
my advice would be to pray about it and ask yourself what sort of person is she now .,0,0
@steveworks4you @tedcruz ted cruz..leader..lol lol lol lol lol omg lol lol lol lol lol you are a funny ass redneck...lol lol lol lol #lol,0,0
rt @t_mart88: jaheim donell jones lyfe jennings ginuwine charlie wilson dru hill next jodeci tyrese and etc ...... bring that type &#8230,0,0
"""@vineforthebyrd: on my way to fuck your bitch https: t.co 4lmtfnl2iy"" lmfao kittycopter",0,0
no more !,0,0
i sat up with my eldest son till 5 am to watch a fight that went 14 secs .,0,0
ion got no type...... bad bitches is the only thing that i like,0,0
breezy gotta sleep this hoe,0,0
rt @foodpornphotos: oreo cheesecake bites. http: t.co yboqrrtjyt,0,0
she come to visit and the pussy too good she gotta move to the city within 3 months after yall first fuck or it ain't gon work.,0,0
rt @michaelgt03: happy birthday freshman faggots @cooopster98 @chase123456718,1,0
@jessitron @bsilverstrim77 ...in fact were i to start a for-profit university this would be the sole requirement for graduation!,0,0
"rt @kaycimalynn: &#8220 @__0utcast___: kayci and i greet each other by saying ""hey cunt"" like it makes me lol&#8221 -the only person okay with me cal&#8230",0,0
roll on big mamma - youtube,0,0
"i don't understand when people say ""yea my first time smoking i didn't get high"" cause damn that fuckin sucks bruh i was retarded high",0,0
@cnnbrk let me guess they have yellow cake too? same crap different president,0,0
@jaytwofly huh lol mad nigger is mad,1,0
rt @worldstarfunny: i don't have an iphone so i have to manually ignore these hoes http: t.co lyzs1pu25i,1,0
sombody bring me some pussy,0,0
rt @derekpayne_: i know you're gonna stalk my tweets so just know that you're a dumb fucking bitch!,0,0
build a bear &lt &lt &lt &lt build a bitch,0,0
rt @mmadifresh: still wishin all of my old hoes the best,0,0
rt @_imcnasty: heat lost. medical marijuana got rejected. rick scott got reelected. i still have no hoes. today's just been a bad day.,0,0
what causes cholera in the first place ??,0,0
@nomeatballs @mtaraban is so excited about his red velvet brownie.,0,0
load this bitch up with kool aid,0,0
"no one understands how much it pisses me off when people use the word ""retard"".",0,0
@mikeb_in_the_d free world bitch,0,0
probably especially if they are legitimate refugees from a war conflict as opposed to the fake black and brown refugees that are flooding the country now .,1,0
#faggots killed #jesuschrist&gt hello!!!!!!!!!!!!!!!!!!!!!!!!! but whatever. go ahead. #gaymarriage yourself into #pharaoh's pockets&gt,1,0
&#8220 @haifuckedyogirl: eat her pussy nd look at her like this &#128540 &#128541 &#128540 http: t.co ksazoyurxv&#8221 @kellienehls,0,0
rt @humonthese every day i thank my nigga jesus for hot wings and my uncanny ability to tend to these bitches.,0,0
see jeff cooper for further instruction .,0,0
from there just click on `` pictures '' and wait for them to load .,0,0
i called. in to work n bitch said they might not want me to go back,0,0
if she did use the money to buy food or get a place to stay and did n't use it to buy drugs or something like that i would n't say you done a bad thing .,0,0
so excited for this white trash bash party tonight &#128540 &#127867,1,0
@honchopikasoe i'm tryna have this bitch in out soon,0,0
sweet and innocent schoolgirl minami asaka&#180 s pussy&#160 eaten http: t.co dnxblkrq45,0,0
there 's no effin way i would send a child to public school .,0,0
but as for them adopting kids the answer is no .,1,0
