,message,hate_speech
93,"Three of the four suspects in the death of a 12-year-old Moore County girl were repeat offenders , free on probation .",0
94,Steve Reed Reporter Three of the suspects charged with the murder of a 12-year old Moore County girl were given suspended sentences for other crimes and were free on probation at the time of her slaying .,0
95,"Perry Ross Schiro , 19 , of Harnett County was charged yesterday with murder in the Sept. 21 shooting death of Emily Elizabeth Haddock .",0
96,He is the fourth suspect to be charged with her murder .,0
97,"Also charged are Sherrod Nicholas Harrison , 19 , Michael Graham Currie , 18 , and Van Roger Smith , 16 , all of Cameron in Harnett County .",0
98,"Two of the suspects , Mr. Harrison and Mr. Currie , were repeat probation violators .",0
99,Only Mr. Smith had no prior criminal record .,0
100,"Mr. Schiro , the latest suspect to be charged in the killing , was arrested when a .22-caliber handgun , possibly the murder weapon , was found in his car .",0
101,"He was also charged with burglary , larceny and possession of stolen property .",0
102,All four suspects are being held without bond in the Moore County Jail .,0
103,The Rest Of The Story,0
104,"Nevermind, found the new page Knew it had to be a groid .... any report of rape ?",1
105,Surprised it came back so fast ...,0
106,http://www.wral.com/news/local/story/1850536/,0
107,"Obama has membership in Prince Hall ( for blacks ) lodge and will become the next president , according to this guy : [ youtube = http://www.youtube.com/watch ? v = _ nLfRsReGII ] Zagami [ /youtube ]",0
108,they act as if negros with aids should have the right to reproduce when they will die off and have no way to take care of the kid I cant believe that they are doing this by the millions its crazy,1
109,Good.,0
110,I hope they all starve .,1
111,No white person should send a single penny or lift a single finger to help them .,1
112,"He's a retarded feral negro ( yes , feral humans who cannot talk occasionally pop up , having been abandoned as children. ) .",1
113,"He walks upright , and has human arms and legs .",1
114,I 've seen negroes who look ( and undoubtedly act ) like him .,1
115,http://www.occultopedia.com/f/feral_children.htmhttp://www.ling.lancs.ac.uk/chimp/la...E4/4kamala.htmhttp://www.occultopedia.com/w/wildpeter.htm Aragorn,0
116,"Again, every time I will see filthy comment about Georgia without providing any facts , I will respond .",0
117,I will respond until Armenian scum will stop,1
118,"The reason large white families were encouraged those days was to build up the population of white Germans , which were ravaged by the jewish attacks at them during WW1 and in hyperinflation 1920 's .",0
119,I see a nation where I can walk out my front door and not feel like a minority in my own country .,0
120,Where a white woman can go about in public and not fear assault by muds .,1
121,"No, I see that as giving up .",0
122,"I hope one day to proudly say again that I am an American , when we take this country back .",0
123,BTL,0
124,"OK, I have been through some of the other threads on this section about NS and watched a few videos on YT .",0
125,It has obviously been misunderstood and i would been keen to learn more .,0
126,I retract - always .... Always because an animal lacks the skills to properly raise a ( half ) human child .,1
127,I apologize for my ignorance .,0
128,Baby steps .,0
129,"I do n't think anyone is insinuating that we are equal to non whites , or that we would ignore white nations .",0
130,When most whites today have so much white guilt laid upon them that they feel they have to act black or have sexual relations and children with blacks just to be accepted there is a problem with the white race memo .,1
131,These people have no idea about who they are or where they came from and any knowledge that they do have has guilt attached to it .,0
132,If whites did have some knowledge and a little more recognition was put out there I think most of them would feel a little more pride of who they are and stick to the white race .,0
133,There should not be problems between the different classes inside the race white since we are all whites they should be joined to fight against non-whites they are our enemies .,1
134,If a person is white and he is a Christian or a Pagan then i consider him as my brother or sister no matter whatever profession he is into .,0
135,Can you give any examples of progress made by skinheads or the Klan ?,0
136,Seems to me they are in precipitous decline .,0
137,Ive been around here for four years and seen almost no class divide .,0
138,"I dont really like even talking about it , because I fear we will create a division where there is none .",0
139,Black ``women''on London transport ...,1
140,"Racist woman rant in London part 1 - YouTube ORIGINAL Racist Black Girls Fighting , South London Railway Balham to Mitcham 18.11.2011 - YouTube",0
141,"[QUOTE=Trotis;10497843]Isn't South African chocolate made by overseas companies based in SA ? ( British and Swiss ) Would a `` Mars bar '' taste different made in SA compared to one in England ? / QUOTE ] I would have thought so too , but the stuff tastes different .",0
142,I think it has something to do with the type of sugar or where the sugar was originally grown .,0
143,BTW - I do n't recall seeing a Mars Bar in S.A ?,0
144,I never drink diet anything either because of the aspartame and water is for the fish .,0
145,"I try to avoid the GMO stuff too , but since they do n't label the stuff it 's hard to do .",0
146,And then you need to avoid High Fructose Corn Syrup - bad for you and made from GM corn .,0
147,You also need to avoid anything Soya .,0
148,And then there is the pesticides on your fresh ( ? ) fruit and veggies .,0
149,And the non-edible chemicals in the processed and sometimes not so processed food .,0
150,In the end the only safe thing to eat is grass if you are lucky enough to have your own garden ( or grow your own food if you have the space ) and hope to hell the government here does n't do chemical spraying .,0
151,"Hell , the way we are deliberately poisoning ourselves I 'm surprised we have lasted this long !",0
152,"If not kept in check , we may very will be living in an actual Planet of the Apes soon .",1
153,YouTube - & #x202a ; Kenya - Hacked to death by panga in front of film crew & #x202c ; & rlm ;,0
154,Racist attack by blacks on a young white girl in France .,0
155,Negro holding the camera laughs with glee : Dailymotion - Agression raciste contre une jeune fille blanche - France - une vidéo News & Politics,0
156,What happens when Popeye 's runs out of chicken YouTube - Popeyes Freakout ( Ghetto Vers .,0
157,"2.0 ) * Does contain alot of profanity , so you have been forewarned *",0
158,Negro rainforest `` music ''.,0
159,"( If you click the video , the video comments are full of self-hating whites ) : YouTube - BAKA RAINFOREST PEOPLE YODELLERS",0
160,What the ...,0
161,"Non-Muslim Michigan High School students wear hijabs in school for class lesson to `` explore religion and identity '' | Pamela Geller , Atlas Shrugs",0
162,I have n't been able to finish watching even one of these videos .,0
163,As soon as I hear them uttering their monkey gibberish I feel like smashing my computer screen with my fist .,1
164,That would be too expensive .,0
165,Thanks.,0
166,I hope this will catch on like the 14 words .,0
167,If anyone wants to post it in other forums feel free to do so .,0
168,"It is very hard for average Whites to see their own disenfranchisement , let alone realize that it is planned .",0
169,This is because much of the disenfranchisement is by way of destroying White cultural identity and pride .,0
170,So contributing and participating in any way to opportunities to instill pride in White ethnic heritage and even White American ethnic heritage will go a long way in helping them recognize what is being taken away .,0
171,Pffffft!,0
172,"Ive seen that crap too , and thought WTF ?",0
173,I can picture him as that baby monkey on the ' save the rainforest comercial or whatever,1
174,The only thing holding us back are our traitors and the 40billion anti-european people of the earth that flourished on our technology .,0
175,"Thanks for saving the picture but the one I saw was a black guy looking at a laptop and a White girl sitting next to him , laughing and hanging on him also looking at the laptop but they did n't show what was on the laptop .",0
176,They were in a living room sitting on the couch implying that they were a couple .,0
177,Its really sad how so many whites just don`t even care and there actually happy that this is coming to be .,0
178,There's more sex and sleaze condensed on the shelves of the check out line than you 'll get in 2 hours of TV - and 2 hours of TV is lethal to your spirit !,0
179,"And her husband is Tom Brady , this good-looking White Nordic guy : Here 's a photo of them with their ( white ) children :",0
180,I actually celebrate Black History Month .,0
181,I have a dream - one of these days Black occupation of America will be history !,1
182,"Pathological killers , they are .",1
183,Jews have been poisoning wells since Biblical times .,1
184,No wonder we are in such bad shape with this tribe in charge of the White House and Congress .,1
185,The Jew represents the snake .,1
186,All you need is to cut off it 's head and the rest of the problems will crumble away with ease,1
187,"I hate to see such beautiful white females become victims of these sick , violent merciless animals .",1
188,Separation is the only answer !,1
189,White Power !,0
190,White Americans and White Europeons have too few children .,0
191,Other than the Amish no other group of whites have large families .,0
192,Honestly the better idea is private schools for our people ; the average parent is a poor teacher .,0
193,The muslims have ultra strict racialist private schools the world over ; why do n't whites ?,0
194,While they are in prison the kikes should get the same food the regular prison population gets ...,1
195,Who the hell cares if its not kosher ...,1
196,This is n't the local 4 diamond Hilton situated on some sunny beach ...,0
197,"i've felt anger when i 've read it on forum , but we have to do our part and speaking at loud voice this fact , because , for example , i 'm from europe and this fact is not pased on tv news or in the news paper ... knows your enemies is the first pass for vicory on them !",1
198,We dont care about Alaska while it is not white land .,0
199,We are more concerned about ZOG controlling US and Russia .,1
200,"Why do n't White Europeans and Americans grow a set of balls , and deport these Black and brown animals from their countries ?",1
201,"Another EuroRus update , more video and photos ! [ gvideo ] http://video.google.com/videoplay ? docid = 5268894597794277031 [ /gvideo ] A Fascinating Conversation Between Dr. Alfred Vierling & Dr. Duke !",0
202,"Kris Roman , Jan Kristel , Dr. Alfred Vierling , Dr. David Duke , Thiery Van Roy , Frederik Ranson , Andreas Thierry , Stephanos Gekas .",0
203,Robert Steuckers and Dr. David Duke Gunther Van Den Eynde en Dr. David Duke Euro-Rus 2008 !,0
204,"Euro-Rus Евро-Русь For a great Europe , from Gibraltar to Vladivostok !",0
205,http://www.eurorus.org/,0
206,What would you have done instead ?,0
207,"Ignore the genocide on Serbs , turn your back on your own people .",0
208,Then you are a traitor .,0
209,"Ivan Ivanovich Shishkin , January 25 , 1832 March 20 , 1898 ( Иван Иванович Шишкин ) Felling of Forest , 1867 Landscape with a Lake At the Seashore , 1890 ( sketch ) Birch Grove , 1896 View at a Neighborhood of Petersburg , 1856 Swiss Landscape , 1866 Forest on the Eve of Thunderstorm , 1872 Oak Forest in a Grey day , 1873 ( sketch ) Swamp .",0
210,"Woodlands , 1890 Rain in an Oak Forest , 1891",0
211,"Finns mixed with swedes and got blond hair and blue eyes , but ethnical finn look like tatar : dark hair , dark eyes , short height , round face .",0
212,The reasons : Alcoholism takes around 150000 lives every year .,0
213,Aids - around 20000 every year .,0
214,Emmigration - around 50000-100000 per year .,0
215,Heart diseases - around 100000 per year .,0
216,High mortality rate - like country is at war .,0
217,Lowest birthrate in world .,0
218,"http://www.guardian.co.uk/russia/art...772175,00.html Attaboy , Putin .",0
219,"If I were in the audience , I 'd clap till my hands were numb .",0
220,That 's telling worthless s.o.b.s like Cheney what they can do with their cheap words and crocodile tears .,0
221,I have long loved Tchaikovsky ballets and Mussorgsky operas and now I enjoy Russian traditional music as well .,0
222,"I just bought two CD 's featuring the Russian Radio Chorus Orchestra , Orchestra Vladimir Avramow , and St. Petersburg Balaika Ensemble playing such songs as St. Petersburg , Why Should I Be Sad , Dark Night , The Long Way , Wolga , So Many Days , Nastassja , Two Guitars , Fields , Hai-Da Trojka , Bandura , Tschubtschik , Troika , The Cossack , Our Little Village , Stenka Rasin , and many others .",0
223,"I was recently in Zaporojie , Ukraine , which has a famous Cossack enclave , where I had the opportunity to dine at a Cossack restaurant and listen to traditional Cossack music played live .",0
224,Listening to this music brings back memories of all my visits to Russia and Ukraine .,0
225,Oh so we cannot post on this subject because at this moment in time we are not in the same AREA as you .... WHATEVER So I will wait maybe untill next spring when I go to LODZ And JP should wait untill he starts school this winter in Bratislava THEN can we post ?? ......... PLEASE SIR,0
226,"I keep telling people about things like this , and they never believe me .",0
227,I want to show them this thread .,0
228,This is great !,0
229,It was until Kveldulf saw fit to open it up again with his unnecessary comments .,0
230,I have to go to work now .,0
231,Hispanic: A woman threw her 2 1/2-year-old granddaughter several stories to her death from a walkway at a shopping mall http://www.news4jax.com/video/25962136/index.html negro : -- Police arrested a 17-year-old who they said burglarized a home over the Thanksgiving weekend .,0
232,"Jacksonville police said Brian Williams broke into the home on Braddock Road while the family was out of town and baked brownies , drank orange juice , surfed porn websites and loaded up the victim 's car with bottles of liquor .",0
233,http://www.news4jax.com/news/25976955/detail.html,0
234,SEX: MALE RACE : BLACK D.O.B : 08-24-1950 HEIGHT : 5 ' 11 WEIGHT : 180 EYE : BROWN HAIR BLACK In Custody For : 001 MISDEMEANOR COUNT OF CRIMINAL TRESPASS 2ND DEG This dude looks like an olde version of Cornielious from `` Planet of the Apes '' !,1
235,LOL,0
236,"You can have your site on Odins Rage but host your picture and zip files somewhere else like geocities.com , cause Odins Rage doesnt give much room .",0
237,"Don't want to ruin the spirit of the mood , but are n't Russians for the most part Orthodox Christian , and they have a different day for Christmas ?",0
238,"I think it is January 6'th or 7'th , not the same as us .",0
239,Because the communist party was almost all jew out to kill any gentile that stood in their way or had property that the jew - communist wanted .,1
240,"Couple Befriend Negroid , Negroid Tries To Burn Down Couples Home - NNN Reporters Newsroom Forum Moblie Couple Says Neighbor Tried to Set Their Apartment on Fire Reported by : Irika Sargent Last Update : 4/25 9 : 01 pm Moblie Couple Says Neighbor Tried to Set Their Apartment on Fire | Local15tv.com , Mobile & Pensacola News , Entertainment , Videos , Business Search and Shopping This is what happens when you make friends with spearchuckers .",1
241,"http://www.newnation.vg/forums/showthread.php?p=325910 Coach Accused Of Fondling Student Student 's Mother Alerts Deputies After Finding Note POSTED : Monday , March 8 , 2010 UPDATED : 9 : 42 am EST March 9 , 2010 * * * Pedophile Alert * * * Robert Bennett. http://www.clickorlando.com/educatio...82/detail.html",0
242,Just got turned on to a website from a friend of mine .,0
243,Shows some interesting statistics about the jew rats ...,1
244,http://ifamericaknew.org/,0
245,It's sort of like the Black computer genius that only appears with any ubiquity on television or in the cinema .,0
246,"I know they 're probably out there , but I 've never met a Black IT professional who was n't exclusively in sales .",0
247,Have you ever heard about death mask of Franco ?,0
248,"One day I have seen it on EBay , but I 'm not sure about authenticity of the mask .",0
249,Is this group in Sweden genuine or are they thieves who steal money but never send the goods you order ?,0
250,Can any Swedish comrades tell me about them ?,0
251,"She is white but looks somewhat below average for a white Swedish girl , I think .",0
252,Why do the Swedes hide their best looking females ?,0
253,I must just say before this thread possibly dies that I have great fear that without action the cause will die along with the rise of multiculturatism,0
254,Glædelig jul !,0
255,"My Norwegian uncle has been visiting , and he has shared with us some things about Christmas celebrated in Norway ...",0
256,Interesting .,0
257,"I also have been talking to a person from Denmark , and I learned about gingerbread , dancing around the tree , and the various customs of Jul ( Dinner , place presents under the tree , desert , dance around tree , open presents ) .",0
258,"I found it to be pretty interesting , and I hope you all had a Gædelig jul !",0
259,Ca n't wait until tomorrow !,0
260,I had actualy written th epost for last summer but had to cancel my trip ... so it is 2005 !!! ok every body cool ? * L * Shann 2508,0
261,"LOL, ok I give up I just had never heard that specific word before and it was n't in my dictionary .",0
262,And since I 'm not really Sture Allén or Horace Engdahl I ca n't say if it 's in Svenska Akademins Ordlista .,0
263,i think some of you are a bit wrong on this one since Our Race Is Our Nation when will you learn ?,0
264,It makes me so damn angry that the swedes ca n't see it !!!,0
265,The blacks and browns are detroying sweden and nobody does anything about it ! : madex : madex : madex,1
266,"The only thing manipulated here are the minds of few foreigners , who reckon they can live amongest superiour , pagan blood .",1
267,"Det er forresten en ting til Órkneyjar vil si deg , `` Tack så mycket . ''",0
268,What say you of Jotunheim ?,0
269,Do you have any figures on this ?,0
270,I 'm pretty sure that tens of billions are sent abroad every year even though 50 + % stays in Sweden .,0
271,"Hmm... let 's try again , viewing by number of asylum seekers per 1,000 population .",0
272,These are much more important in my estimation .,0
273,"For instance , the U.S. lets in about 900,000 people legally every year , while Canada lets in about 225,000 .",0
274,"However , in per-capita rates , U.S. legal immigration is at about 3 per 1,000 annually , while for Canada it 's about 7 .",0
275,"Thus , shockingly , Canada may actually achieve a non-white majority before the U.S. does .",0
276,"Denmark : 2.3 ( 2001 ) , 1.1 ( 2002 ) , 0.9 ( 2003 ) , 0.6 ( 2004 ) . ( assuming population of 5.4 million ) Good job Denmark !",1
277,Let 's see it get down to zero !,0
278,"Norway : 3.3 ( 2001 ) , 3.9 ( 2002 ) , 3.5 ( 2003 ) , 1.8 ( 2004 ) . ( assuming population of 4.5 million ) Sweden : 2.6 ( 2001 ) , 3.7 ( 2002 ) , 3.5 ( 2003 ) , 2.6 ( 2004 ) . ( assuming population of 8.9 million ) Iceland is at about 0.2 .",0
279,"Finland , however , used to be very low , but it 's now higher than Denmark and nearly as high as Norway .",0
280,"By per capita take-ins , Norway was the worst in 2001 , but apparently the Norwegians cracked down in 2004 and they 're now lower than Sweden 's rate .",0
281,Aragorn,0
282,That is good news When i was in Norge ..,0
283,The only Blacks i saw were Somalies .. and they 're a cross mix of Black and Arabs .,0
284,"No, it 's not possible .",0
285,Read the earlier posts and see that there are still lots of non-whites coming to Denmark .,0
286,I do n't dare to look at them !,0
287,You should see what my grandma 's hair looked like 50 years ago ...,0
288,"Eldritch and myself went early to the harbour , but all the boats were cancelled on account of rough weather .",0
289,"One day , brother ... one day .",0
290,I've seen on the web he is making a new horror film called `` it waits '' but cant find that much about it,0
291,I thought they agreed they wouldn t do the Salem march this year because his parents didn t want the media attention ?,0
292,Jag har inte själv varit med någon gång men jag har stor respekt för de som deltar .,0
293,"Why, are you afraid that your son might come and find you drunk in a bar 20 years later and try to kill you or something ...",0
294,"Damn, Finland is closing in on Sweden in this poll !",0
295,But you are most welcome anyway Ugric _ Warspirit .,0
296,Suomalainen totta kai !,0
297,i get what your saying and there are thousands of non irish here who will never contribute anything to this land .,1
298,The folk im talking about have been shoulder to shoulder with me for a long time and i will continue to show loyalty and respect to them as they have more than earned it 828,0
299,"unless you are a tourist or here the study for a year or two please just go back Russian , we dont need or want more slavs",1
300,What a load of crap.Water are ye people for real Ireland is been taken over by non Irish and this rubbish .,1
301,I hate the word racist it makes people being called racist think that they are doing something wrong when they the immigrants coming here are doing something wrong,1
302,Reminds me of an old joke .,0
303,"Whats the difference between St. Patrcks Day , and Martin Luther King Day ? ........................... On St. Patricks day every body wishes they are Irish .",0
304,Im sorry that many people in my country are stupid .,0
305,They feel the need to close down a prison full of terroris / people who aided in the killing of our soldiers and scatter them all around the world. ??????????????????,0
306,and the Poles decide to up and leave therefore devastating the Irish economy as every man and his dog are telling us what are the potential ramifications for our welfare scrounging visitors from far ashore ?,0
307,"No I was asking for a link for were it says their banning the celtic cross , but thanks for the link i 'll check it out .",0
308,Cheers,0
309,If they have some marches and what not about showing pride in their culture you guys should go out and do the same If you could try and contact people you know in different cities and see if their willing to do the same .,0
310,"good luck NoRemorseNoRegrets , hopefully its good news about your job and lets hope you dont become another figure in a stat !",0
311,"I posted a thread in Stormfront Ireland the week before about english hooligans slashing an Irish mans throat , the thread dissappeared without explanation .",0
312,A crude drawing of a swastika on a wall with spraypaint will only make neutral people associate nazi 's with common lowlife scum .,0
313,Can a mod also change the thread title so it says the 10th ? dont want people showing up 10 days late,0
314,Watching those videos makes me feel like im going to explode with hatred for those creatures .,1
315,A feel a mix of intense hate and depression that we have let things degenerate so far .,0
316,From what I know they 're almost exclusively Nigerian asylum seekers .,0
317,"They have a few of their own shops , a food shop by the bus/train station and a clothes shop where they sell FUBU and other assorted gangsta rap crap .",0
318,This filth is a sectarian British song not an Irish folk song the sort of scum who wrote and admire this filth have no place on a WN forum yet alone an Irish forum,1
319,Thanks for that Limerickpit I have put that on my planner no doubt it will be a total destoration of the facts !!,0
320,"During the early punk scene , he was always seen decked out in a Union flag blazer , then all a sudden , an instant nationality transplant .",0
321,well done at least someone is getting off their arse and taking action rather then sitting behind a computer being a cyber warrior.i hope others will follow suit,0
322,So if a fellow white man rapes my daughter or kills my brother I should let it go because he is white ?,0
323,Its a disgrace my sister has been on the waiting list for 6 years and their giving away houses to these scumbags,1
324,Most of the info on this site is out of date but it has some interesting information on the groups/orgs that have come and gone over the years .,0
325,http://www.tau.ac.il/Anti-Semitism/a...-4/ireland.htm,0
326,the younger limerick crowd say the gangs from moyross are in regular fights with the poles they go around in tens and when they meet all hell breaks lose its very like in east germany with the poles and working class irish .,0
327,"I was away for the weekend that is why I did get around to posting my blood group ( I do n't see why I should bother anyway ) BTW , I am in blood group `` O ''",0
328,The Church of Ireland Archbishop of Dublin has called for an amnesty for immigrants who have been in Ireland for five years or more without their status being resolved .,0
329,http://www.thepost.ie/post/pages/p/s...726-qqqx=1.asp,0
330,Thanks It may not seem like much but just puting one of those leaflets up on a noticeboard gets a lot of people talking .,0
331,"No it is not a joke , we have a very high standard education system here in Ireland ..",0
332,It is as good as anywhere in the world ..,0
333,"Thankfully, the C.W. Camp-Out will go ahead this year .",0
334,"Unfortunately , we missed out last year but this year s occasion will definitely make up for it .",0
335,"Beautiful scenery , music , campfire and good , true company .",0
336,Looking forward to it !,0
337,"Regards , Draiodoir .",0
338,"I read recently in cold black and white print that there was around 10,000 nigerians in Ireland ... Now you say close to 300,000 ????!",0
339,Is this true ?,0
340,These people who want foreign aid increased are the same people who walk past irish people living rough on the streets and they do n't care about the old people who the government ignores .,0
341,16,0
342,"I had a few of the CDs and gave them all away , let me see if i can get you a copy !!!!",0
343,Don't think you supremacists would ever be able to build up the force of resistance that Irish Republicans did mate .,0
344,Look on in jealousy !!! 2508,0
345,"Lie, lie , lie !!!",0
346,Irish men are SOOOOOOO beautiful !!!!,0
347,"I love their darker hair , their skin , their eyes !",0
348,They are stunning !! * KISS * 2056,0
349,the article says they went into mainstream schooling so i think that must have played a role in it.the drugs were proscribed to them for health problems,0
350,There is an active community here - you just need to get off the net to find it .,0
351,Use PM to get in touch .,0
352,How could you begin to tell people that all this multi cultural stuff is wrong without being hated on by our fellow people ?,0
353,Yeah it was the same way when I was going to school in Calgary. the problem is they have like 8 kids where we only have about 1-2 children usually .,0
354,Are only chapter right now is in the Fraser Valley near Vancouver but were looking to open chapters all over Canada .,0
355,Some Natives were driving around in a truck a few years ago .,0
356,Nothing unusual about that except it said on the back window .,0
357,"`` Work harder white boy , my brother needs a new truck '' .",0
358,True story,0
